iter	F1	Logloss	Logloss:use_weights=true	Logloss:use_weights=false
0	0.7730911163	0.6140893026	0.6140893026	0.6223895831
1	0.7843259123	0.5631737831	0.5631737831	0.5750072129
2	0.7857973119	0.5248659774	0.524866017	0.536467813
3	0.7883316371	0.4988035352	0.4988035352	0.5077076221
4	0.7907219135	0.476636568	0.4766364889	0.4832135336
5	0.7917605052	0.4625625952	0.4625625952	0.4664840925
6	0.7937760314	0.4546012926	0.4546013322	0.4545717033
7	0.7948459283	0.4470847667	0.4470847667	0.444578318
8	0.7965734594	0.4412366672	0.4412367068	0.4358611863
9	0.7998427332	0.4325189279	0.4325189279	0.4246340952
10	0.8070046572	0.4220782731	0.4220782731	0.4118655901
11	0.8084071016	0.4166776014	0.4166776014	0.405371155
12	0.8120994177	0.4098991513	0.4098991513	0.3970887859
13	0.8148148362	0.4038402974	0.4038402578	0.389669495
14	0.8169754474	0.3990859763	0.3990860158	0.3839111944
15	0.8183134911	0.3958093897	0.3958093897	0.3798246038
16	0.8197042969	0.393311162	0.3933112016	0.3766553908
17	0.8201538593	0.3920327064	0.3920326669	0.374831466
18	0.8208242919	0.3885793172	0.3885792776	0.3709092099
19	0.8216625159	0.3877007648	0.3877008043	0.3694693584
20	0.8220187772	0.3871840088	0.3871840088	0.3685227314
21	0.8219842739	0.387181318	0.3871812388	0.3682220225
22	0.8226307142	0.3846931809	0.3846931809	0.3653039344
23	0.8226427672	0.3846891843	0.3846891843	0.3650094143
24	0.8231128588	0.3829940079	0.3829939683	0.3630544198
25	0.8239038204	0.3809826602	0.3809826206	0.3605764725
26	0.8243115028	0.3803914319	0.3803914714	0.3597648201
27	0.8242317783	0.3803835177	0.3803835177	0.3595663736
28	0.8241962538	0.3803709342	0.3803709342	0.3593982448
29	0.8244786452	0.379430295	0.379430295	0.3582817208
30	0.8247959083	0.3790443999	0.3790443604	0.3577975585
31	0.8248261261	0.3787676413	0.3787676413	0.3574456816
32	0.8248798478	0.3787619035	0.3787618639	0.3573817676
33	0.8248622294	0.3787528418	0.3787528022	0.3573234898
34	0.8250105739	0.3777257403	0.3777257799	0.3562080341
35	0.8250003515	0.3777250281	0.3777250281	0.3561619129
36	0.8250530021	0.3777246323	0.3777245928	0.3561233066
37	0.8250397326	0.3777242762	0.3777242762	0.356089563
38	0.8250001357	0.3777208335	0.3777208731	0.3560596873
39	0.8256571528	0.3766395596	0.37663952	0.3549418003
40	0.8256549747	0.376637581	0.3766376206	0.3549302332
41	0.8256708165	0.376535963	0.376535963	0.3548009317
42	0.8256729939	0.3765287611	0.3765287611	0.3547922379
43	0.8257180016	0.3765269804	0.3765269409	0.354787891
44	0.8258838498	0.3764318125	0.3764317729	0.3546779663
45	0.8258838498	0.3764314168	0.3764314168	0.3546766401
46	0.8259136004	0.37639608	0.3763961196	0.3546370393
47	0.8259146891	0.37639608	0.3763961196	0.3546353447
48	0.8259520969	0.3754136936	0.3754136936	0.3536655098
49	0.826215234	0.3748110689	0.3748111085	0.3529135718
50	0.8262272227	0.3748085759	0.3748085759	0.3528606355
51	0.8264735903	0.3744105326	0.374410493	0.3524099222
52	0.8266226181	0.3743026624	0.3743026624	0.3522683904
53	0.8266291604	0.3742933237	0.3742933237	0.3522269108
54	0.8266411546	0.3742880607	0.3742880212	0.3521971825
55	0.8266411546	0.374286557	0.374286557	0.3521758164
56	0.8272404451	0.3728121069	0.3728120278	0.3509423317
57	0.8271725591	0.3727523945	0.372752434	0.3508797807
58	0.8272290453	0.3726507369	0.3726507765	0.3507718821
59	0.8278598122	0.3718363289	0.3718363684	0.3498643403
60	0.8279572715	0.371768544	0.3717685835	0.3498239289
61	0.8279671792	0.3717683461	0.3717683461	0.3498525889
62	0.8280011749	0.3717632811	0.3717632415	0.3498710816
