iter	Passed	Remaining
0	80	47987
1	163	48819
2	243	48388
3	329	49155
4	404	48193
5	480	47531
6	551	46740
7	634	46953
8	731	48031
9	829	48913
10	902	48319
11	982	48143
12	1054	47621
13	1125	47105
14	1191	46464
15	1267	46252
16	1342	46043
17	1413	45710
18	1485	45415
19	1567	45456
20	1650	45511
21	1724	45314
22	1795	45047
23	1862	44699
24	1951	44881
25	2030	44838
26	2101	44591
27	2167	44284
28	2242	44149
29	2332	44308
30	2415	44337
31	2495	44293
32	2585	44423
33	2653	44166
34	2734	44138
35	2829	44332
36	2913	44327
37	2983	44117
38	3061	44041
39	3129	43815
40	3224	43960
41	3297	43806
42	3372	43684
43	3456	43681
44	3530	43537
45	3607	43443
46	3697	43505
47	3765	43304
48	3840	43185
49	3922	43146
50	4010	43176
51	4083	43031
52	4163	42970
53	4241	42890
54	4323	42841
55	4416	42899
56	4490	42781
57	4567	42682
58	4658	42717
59	4746	42716
60	4839	42764
61	4925	42740
62	5006	42676
63	5094	42666
64	5167	42530
65	5250	42484
66	5321	42333
67	5406	42298
68	5492	42271
69	5570	42179
70	5652	42118
71	5726	41993
72	5797	41853
73	5898	41923
74	5968	41777
75	6046	41687
76	6130	41639
77	6252	41845
78	6321	41689
79	6392	41552
80	6482	41535
81	6570	41505
82	6641	41367
83	6707	41204
84	6782	41094
85	6858	40992
86	6946	40958
87	7042	40973
88	7114	40847
89	7216	40895
90	7295	40804
91	7370	40697
92	7443	40579
93	7523	40501
94	7608	40447
95	7691	40379
96	7763	40259
97	7830	40111
98	7898	39968
99	7992	39963
100	8082	39931
101	8157	39827
102	8226	39694
103	8296	39567
104	8370	39459
105	8445	39361
106	8513	39225
107	8596	39161
108	8668	39045
109	8753	38994
110	8825	38877
111	8914	38843
112	8987	38732
113	9067	38655
